SBA,Scott Base, Antarctica,-77.8492,166.7572,AUSPASS / IRISDMC
SDV,Santo Domingo, Venezuela,8.8839,-70.634,AUSPASS / IRISDMC
SEO,Seoul, South Korea,37.5667,126.9667,IRISDMC
SFJ,Sondre Stromfjord, Greenland,66.9967,-50.6156,IRISDMC
SFJD,Sondre Stromfjord, Greenland,66.9961,-50.62076,AUSPASS / IRISDMC / ORFEUS
SJG,San Juan, Puerto Rico,18.1091,-66.15,AUSPASS / IRISDMC
SLBS,Sierra la Laguna Baja California Sur, Mexico,23.6858,-109.9443,AUSPASS / IRISDMC
SNZO,South Karori, New Zealand,-41.3087,174.7043,AUSPASS / IRISDMC
SPA,South Pole, Antarctica,-89.9954,115,IRISDMC
SSPA,Standing Stone Pennsylvania, USA,40.6358,-77.8876,AUSPASS / IRISDMC
TARA,Tarawa Island, Republic of Kiribati,1.3549,172.9229,AUSPASS / IRISDMC
TATO,Taipei, Taiwan,24.9735,121.4971,AUSPASS / IRISDMC
TBT,Taburiente Canary Islands, Spain,28.6794,-17.9145,IRISDMC
TEIG,Tepich Yucatan, Mexico,20.2263,-88.2763,AUSPASS / IRISDMC
TIXI,Tiksi, Russia,71.6341,128.8667,AUSPASS / IRISDMC
TOL,Toledo, Spain,39.8814,-4.048499,IRISDMC
TRIS,Tristan da Cunha,,-37.0681,-12.3152,AUSPASS / IRISDMC
TRQA,Tornquist, Argentina,-38.0568,-61.9787,AUSPASS / IRISDMC
TSUM,Tsumeb, Namibia,-19.2022,17.5838,AUSPASS / IRISDMC
TUC,Tucson Arizona, USA,32.3098,-110.7847,AUSPASS / IRISDMC
ULN,Ulaanbaatar, Mongolia,47.8651,107.0532,AUSPASS / IRISDMC
WAKE,Wake Island,,19.2834,166.652,AUSPASS / IRISDMC
WCI,Wyandotte Cave Indiana, USA,38.2289,-86.2939,AUSPASS / IRISDMC
WVT,Waverly Tennessee, USA,36.1297,-87.83,AUSPASS / IRISDMC
XMAS,Kiritimati Island, Republic of Kiribati,2.0448,-157.4457,AUSPASS / IRISDMC
YAK,Yakutsk, Russia,62.031,129.6805,AUSPASS / IRISDMC
YSS,Yuzhno Sakhalinsk, Russia,46.9587,142.7604,AUSPASS / IRISDMC
