http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=COLA&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,ak018fcnsk91,17:29:29,2018-11-30,61.3464,-149.9552,7.1,Wasilla,61.5769,-149.4668,United States,9748,22.660340455542784,COLA,College Outpost Alaska,64.873599,-147.8616,AUSPASS / IRISDMC,252.28797472325428
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=DAV&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us10007s9c,06:13:48,2017-01-10,4.4782,122.6171,7.3,Jolo,6.0522,121.0022,Philippines,\N,155.46399537758492,DAV,Davao,7.0697,125.5791,AUSPASS / IRISDMC,271.11969902912705
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=HNR&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us10007uph,04:30:22,2017-01-22,-6.2464,155.1718,7.9,Arawa,-6.228,155.566,Papua New Guinea,40266,27.10389101051543,HNR,Honiara,-9.4387,159.9475,AUSPASS / IRISDMC,394.27986307059774
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=TEIG&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us1000c2zy,02:51:33,2018-01-10,17.4825,-83.52,7.5,Brus Laguna,15.7504,-84.48,Honduras,4067,135.4996202889233,TEIG,Tepich Yucatan,20.2263,-88.2763,AUSPASS / IRISDMC,364.1627074926219
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=AFI&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us1000gcii,00:19:40,2018-08-19,-18.1125,-178.153,8.2,Labasa,-16.4166,179.3833,Fiji,24187,200.36890646238137,AFI,Afiamalu,-13.9093,-171.7773,AUSPASS / IRISDMC,513.3158654860445
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=SDV&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us1000gez7,21:31:47,2018-08-21,10.7731,-62.9019,7.3,Carupano,10.67,-63.23,Venezuela,126293,23.384029171593358,SDV,Santo Domingo,8.8839,-70.634,AUSPASS / IRISDMC,542.2754931122995
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=SAML&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us1000ggj4,09:04:08,2018-08-24,-11.0355,-70.8284,7.1,Cobija,-11.0333,-68.7333,Bolivia,44437,142.0741683824131,SAML,Samuel,-8.9489,-63.1831,AUSPASS / IRISDMC,539.766446681792
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=RAO&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us1000gjaz,03:51:56,2018-08-29,-22.0295,170.1262,7.1,Isangel,-19.5417,169.2817,Vanuatu,\N,180.32852187220132,RAO,Raoul,-29.245,-177.929,AUSPASS / IRISDMC,894.6905309021644
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=DAV&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us1000h3p4,10:02:45,2018-09-28,-0.2559,119.8462,7.5,Palu,-0.907,119.833,Indonesia,612445,44.99374154024879,DAV,Davao,7.0697,125.5791,AUSPASS / IRISDMC,642.0884449798401
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=PMG&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us1000haa3,20:48:20,2018-10-10,-5.7012,151.2046,7.0,Hoskins,-5.4746,150.41,Papua New Guinea,871,56.83673233794041,PMG,Port Moresby,-9.4047,147.1597,AUSPASS / IRISDMC,377.08486547329676
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=RAO&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us1000i2gt,04:18:08,2018-12-05,-21.9496,169.4266,7.5,We,-20.9,167.2667,New Caledonia,\N,156.7007642422748,RAO,Raoul,-29.245,-177.929,AUSPASS / IRISDMC,934.2851187102302
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=PET&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us20009x42,23:34:13,2017-07-17,54.4434,168.857,7.7,Ust Kamchatsk,56.2135,162.435,Russia,4939,280.3268469287343,PET,Petropavlovsk,53.0233,158.6499,AUSPASS / IRISDMC,428.12695097707984
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=TEIG&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us2000ahv0,04:49:19,2017-09-08,15.0222,-93.8993,8.2,Pijijiapan,15.6904,-93.22,Mexico,23675,64.6488987643569,TEIG,Tepich Yucatan,20.2263,-88.2763,AUSPASS / IRISDMC,515.9799661472646
http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=TEIG&loc=00&cha=BHZ&starttime=2005-01-01T00:00:00&endtime=2005-01-02T00:00:00&output=plot,us2000ar20,18:14:38,2017-09-19,18.5499,-98.4887,7.1,Atlixco,18.9,-98.45,Mexico,97842,24.320597235343996,TEIG,Tepich Yucatan,20.2263,-88.2763,AUSPASS / IRISDMC,675.4373526771778
