earthquakeID,earthquakeTime,earthquakeDay,earthquakeLatitude,earthquakeLongitude,earthquakeMagnitude,City,cityLatitude,cityLongitude,Country,cityPopulation,cityDistance,stationDode,stationName,stationLatitude,stationLongitude,stationDistance,Wave
us20009ynd,22:31:11,20/07/2017,36.9293,27.4139,6.6,Kos,36.8937,27.2888,Greece,19244,7.335410239,ANTO,Ankara,39.868,32.7934,354.9503427,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=ANTO&loc=00&cha=BHZ&starttime=2017-07-20T00:00:00&endtime=2017-07-21T00:00:00&output=plot
us2000a18e,10:32:57,26/07/2017,26.8975,130.1836,6,Naha,26.2072,127.673,Japan,905238,162.3225933,TATO,Taipei,24.9735,121.4971,555.6981557,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=TATO&loc=00&cha=BHZ&starttime=2017-07-26T00:00:00&endtime=2017-07-27T00:00:00&output=plot
us2000a1uk,17:53:24,27/07/2017,13.396,-49.3259,6,Sinnamary,5.38,-52.96,French Guiana,3180,606.6114677,SJG,San Juan,18.1091,-66.15,1164.486286,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=SJG&loc=00&cha=BHZ&starttime=2017-07-27T00:00:00&endtime=2017-07-28T00:00:00&output=plot
us2000a5x1,13:19:49,08/08/2017,33.1926,103.8552,6.5,Minxian,34.4362,104.0306,China,67826,86.50819225,ULN,Ulaanbaatar,47.8651,107.0532,1027.297788,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=ULN&loc=00&cha=BHZ&starttime=2017-08-08T00:00:00&endtime=2017-08-09T00:00:00&output=plot
us2000a65e,23:27:53,08/08/2017,44.3023,82.8317,6.3,Yining,43.9,81.35,China,403489,78.59121926,MAKZ,Makanchi,46.808,81.977,177.9851784,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=MAKZ&loc=00&cha=BHZ&starttime=2017-08-08T00:00:00&endtime=2017-08-09T00:00:00&output=plot
us2000a77i,05:28:25,11/08/2017,14.0065,120.7391,6.2,Trece Martires City,14.2832,120.8677,Philippines,,20.96892175,DAV,Davao,7.0697,125.5791,581.0557286,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=DAV&loc=00&cha=BHZ&starttime=2017-08-11T00:00:00&endtime=2017-08-12T00:00:00&output=plot
us2000a7q2,03:08:10,13/08/2017,-3.7682,101.6228,6.4,Bengkulu,-3.8,102.27,Indonesia,426673,44.67162081,CHTO,Chiang Mai,18.8141,98.9443,1570.814409,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=CHTO&loc=00&cha=BHZ&starttime=2017-08-13T00:00:00&endtime=2017-08-14T00:00:00&output=plot
us2000a98r,02:59:25,18/08/2017,-1.112,-13.6605,6.6,Georgetown,-7.9286,-14.4119,Saint Helena,,473.7904674,KOWA,Kowa,14.4967,-4.014,1264.228919,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=KOWA&loc=00&cha=BHZ&starttime=2017-08-18T00:00:00&endtime=2017-08-19T00:00:00&output=plot
us2000a9n1,02:00:52,19/08/2017,-17.9609,-178.8406,6.4,Labasa,-16.4166,179.3833,Fiji,24187,158.5108397,AFI,Afiamalu,-13.9093,-171.7773,546.277645,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=AFI&loc=00&cha=BHZ&starttime=2017-08-19T00:00:00&endtime=2017-08-20T00:00:00&output=plot
us2000ac7a,04:17:51,27/08/2017,-1.4525,148.08,6.3,Lorengau,-2.032,147.28,Papua New Guinea,5806,68.22871643,PMG,Port Moresby,-9.4047,147.1597,553.0458015,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=PMG&loc=00&cha=BHZ&starttime=2017-08-27T00:00:00&endtime=2017-08-28T00:00:00&output=plot
us2000adjh,17:06:55,31/08/2017,-1.159,99.6881,6.3,Padang,-0.96,100.36,Indonesia,855000,48.40718757,CHTO,Chiang Mai,18.8141,98.9443,1380.865331,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=CHTO&loc=00&cha=BHZ&starttime=2017-08-31T00:00:00&endtime=2017-09-01T00:00:00&output=plot
